title,genre,description
Batman Begins,Action Adventure,A young Bruce Wayne trains to fight crime and returns to Gotham to become Batman.
The Dark Knight,Action Crime Drama,"Batman faces the Joker, a criminal mastermind who spreads chaos across Gotham City."
The Dark Knight Rises,Action Drama,Batman returns from retirement to stop Bane and save Gotham from destruction.
Joker,Crime Drama Thriller,A troubled comedian descends into madness and becomes the infamous Joker.
Man of Steel,Action Adventure Sci-Fi,Clark Kent embraces his destiny as Superman while Earth faces a powerful alien threat.
Wonder Woman,Action Adventure Fantasy,An Amazon warrior leaves her island home to help end a world war.
Justice League,Action Adventure Fantasy,Batman and Wonder Woman assemble a team of heroes to defend Earth.
Iron Man,Action Adventure Sci-Fi,A billionaire engineer builds a powered suit and becomes the superhero Iron Man.
Iron Man 2,Action Adventure Sci-Fi,Tony Stark faces pressure from the government and a new technological enemy.
The Avengers,Action Adventure Sci-Fi,Earth's mightiest heroes unite to stop Loki and an alien invasion.
Avengers: Endgame,Action Adventure Drama,The Avengers make a final stand to reverse a devastating loss and save the universe.
Spider-Man: Homecoming,Action Adventure Comedy,Peter Parker balances teenage life with his new role as Spider-Man.
Doctor Strange,Action Adventure Fantasy,A talented surgeon learns mystic arts after a life-changing accident.
Black Panther,Action Adventure Sci-Fi,The new king of Wakanda must defend his nation and claim his rightful place.
Thor,Action Adventure Fantasy,The arrogant god Thor is cast out of Asgard and learns humility on Earth.
Captain America: The First Avenger,Action Adventure War,A determined soldier becomes Captain America during World War II.
Guardians of the Galaxy,Action Adventure Comedy,A group of unlikely heroes band together to stop a cosmic threat.
Interstellar,Adventure Drama Sci-Fi,A team travels through a wormhole in search of a new home for humanity.
Inception,Action Sci-Fi Thriller,A skilled thief enters dreams to steal secrets and plant ideas.
The Martian,Adventure Drama Sci-Fi,An astronaut stranded on Mars uses science and determination to survive.
